rel_path,caption_md,type,region
figures/CINMS-ConditionReport_2016/App.F.12.17.Map_CalCOFI.png,Figure App.F.12.17. Location of spring season net samples by the California Cooperative Oceanic Fisheries Investigations (CalCOFI) used in analyses of abundance and trends in pelagic resources in two regions: Channel Islands National Marine Sanctuary region (red) includes CalCOFI stations inside and adjacent to CINMS; and Southern California Shelf (yellow) includes all CalCOFI stations over the shelf. Figure: A. Thompson/NOAA,Condition Report,Channel Islands
figures/CINMS-ConditionReport_2016/App.F.12.18_CalCOFI_SPV.png,"Figure App.F.12.18. Mean volume of small plankton collected in net samples during CalCOFI cruises at only sites in the Channel Islands National Marine Sanctuary region (top) and all sites over the Southern California Shelf (bottom) from 1978 to 2015 (sampling locations shown in Figure App.F.12.17). Horizontal lines show the mean (dashed line) ± 1.0 standard deviation (solid lines) over the full time series. Symbol at upper right indicates whether data over the last five years (green shaded areas) had a positive trend (), a negative trend (), or no trend (↔). Symbol at lower right indicates whether the mean over the past five years was greater than (+), less than (–), or within 1 standard deviation (●) of the mean of the full time series.. Figure App.C.4.15. Variation over time in percentage of stations from winter CalCOFI cruises with plastic micro-debris. Micro-debris was present in more than 50 percent of samples at each time period. Figure: Gilfillan et al. 2009",Condition Report,Channel Islands
figures/CINMS-ConditionReport_2016/App.F.12.19a.CalCOFI_High_ichthy.png,,Condition Report,Channel Islands
figures/CINMS-ConditionReport_2016/App.F.12.19b.CalCOFI_Med_ichthy.png,,Condition Report,Channel Islands
figures/CINMS-ConditionReport_2016/App.F.12.20.CalCOFI_squid.png,,Condition Report,Channel Islands
figures/CINMS-ConditionReport_2016/App.F.15.5.CalCOFI_water_associated.png,,Condition Report,Channel Islands
figures/CINMS-ConditionReport_2016/App.F.15.6.CalCOFI_diversity.png,,Condition Report,Channel Islands
figures/CINMS-ConditionReport_2016/S.LR.12.5a_Anchovy_CalCOFI.png,,Condition Report,Channel Islands
figures/CINMS-ConditionReport_2016/S.LR.12.5b_Sardine_CalCOFI.png,,Condition Report,Channel Islands
figures/CINMS-ConditionReport_2016/S.LR.12.5c_Squid_CalCOFI.png,,Condition Report,Channel Islands
figures/CINMS-ConditionReport_2016/S.LR.15.3a_Cool-water.png,,Condition Report,Channel Islands
figures/CINMS-ConditionReport_2016/S.LR.15.3b_warm-water.png,,Condition Report,Channel Islands
figures/CINMS-ConditionReport_2016/S.LR.15.3c_species_richness.png,,Condition Report,Channel Islands
figures/CINMS-ConditionReport_2016/S.LR.15.3d_Simpson_diversity.png,,Condition Report,Channel Islands
figures/Gallo-et-al_2019/Gallo-et-al_2019_Figure3.png,"**Figure 3.** End of twenty-first century climate projections for the CalCOFI region **(A)** for annual mean sea surface temperature **(B)**, surface pH **(C)**, and surface oxygen concentration **(D)** forced using RCP 8.5 “business as usual” emissions scenario. For the time-series, gray lines are individual model realizations (35 for temperature and 29 for pH and O2) while the black line is the average of all model realizations. Climate model output obtained from the Large Ensemble Community Project (LENS) ([Kay et al., 2015](https://www.frontiersin.org/articles/10.3389/fmars.2019.00695/full#B59)) for shaded grid cells in **(A)**.",Journal Article,CalCOFI
